time,id,age,gender,education,employment_status,province,migration_stage,time_in_current_stage,behavioral_attitude,subjective_norm,perceived_behavioral_control,actual_behavioral_control,V_score,has_family_abroad
0,1,33.8211547762799,male,12,unemployed,4,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,2,31.64665838797477,female,8,self_employment,9,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,3,25.044476321305808,female,2,self_employment,3,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,4,49.363188723428536,female,6,unemployed,34,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,5,23.244231299668,male,19,blue_collar,8,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,6,28.033293438962765,male,4,white_collar,34,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,7,42.944978987226314,male,16,white_collar,74,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,8,38.14729619731156,male,14,blue_collar,39,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,9,44.441945883951554,female,10,unemployed,31,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,10,24.681456445239245,female,19,self_employment,3,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,11,46.60821059041103,male,2,self_employment,11,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,12,18.970340411064264,female,11,white_collar,66,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,13,24.892213031229684,female,8,self_employment,37,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,14,32.49489270633454,female,5,underemployed,51,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,15,25.049288774921493,male,1,unemployed,25,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,16,23.199841952343906,male,9,underemployed,53,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,17,53.82300718960263,male,10,unemployed,10,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,18,41.74988026899875,female,5,white_collar,64,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,19,31.72605466800777,male,4,white_collar,37,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,20,37.04642624001516,male,6,unemployed,76,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,21,35.640024495185045,male,13,blue_collar,18,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,22,45.16286441562751,female,6,unemployed,16,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,23,30.18538140115755,female,15,underemployed,44,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,24,20.09711051629627,female,4,underemployed,72,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,25,39.801841213128164,female,4,self_employment,70,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,26,21.298888173396897,male,10,blue_collar,14,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,27,34.71922556024425,male,4,unemployed,38,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,28,33.679895786293294,female,3,self_employment,43,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,29,41.191560933671425,male,17,unemployed,60,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,30,49.10908721596453,female,6,blue_collar,12,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,31,29.481293832715288,female,10,unemployed,30,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,32,49.59841442575007,male,9,unemployed,27,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,33,44.0818998917035,male,10,white_collar,60,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,34,51.75178435452885,male,9,underemployed,47,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,35,28.532032746451083,male,5,underemployed,53,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,36,29.130530633495994,male,0,self_employment,4,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,37,28.915653624459082,male,16,underemployed,43,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,38,42.51129478312821,female,18,underemployed,25,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,39,38.30054128188165,male,15,blue_collar,72,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,40,45.33254475164184,male,1,blue_collar,46,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,41,47.600978827090486,male,4,white_collar,33,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,42,23.370692823943596,male,11,white_collar,59,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,43,35.41840706549749,female,16,self_employment,69,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,44,34.990685982176764,female,13,white_collar,63,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,45,46.94775842298326,male,5,white_collar,47,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,46,27.82953499856228,female,12,blue_collar,42,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,47,50.118704555146564,female,10,blue_collar,79,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,48,50.173997155529825,female,0,white_collar,68,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,49,32.62722056646297,male,7,blue_collar,25,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,true
0,50,29.605947100396694,male,7,underemployed,22,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,51,21.9874676291196,male,12,underemployed,80,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,52,37.100782633530656,female,16,blue_collar,26,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
0,53,27.864560920642475,female,8,self_employment,68,never_consider,0.0,0.0,0.0,0.0,0.0,0.0,false
