time,current_time_months,#15,#17,#19,#21,#23,#25,economic_conditions_turkey,economic_conditions_germany,political_instability_turkey,policy_complexity_germany
0,0,0,0,0,0,0,0,0.3,0.7,0.5,0.6
1,1,0,92,0,0,0,0,0.2769936093915738,0.6880451337403994,0.48090007506427446,0.6046773043043953
2,2,0,58,1,0,0,33,0.2797496759448592,0.687351310852844,0.4877798248536857,0.6059129817923515
3,3,0,34,1,0,0,57,0.2740266590238148,0.6718932465361752,0.49171183947601943,0.5991796890527956
4,4,0,19,0,1,0,72,0.27059083664227834,0.676684398927127,0.4905012297342087,0.592115342820244
5,5,0,12,0,1,0,79,0.29567646344641035,0.6753071711054931,0.4793983099791175,0.5977016501885476
6,6,0,9,0,0,1,82,0.2955338380204095,0.6554314171606981,0.47482580179629974,0.6135603405921117
7,7,0,4,0,0,1,87,0.3016500739737407,0.6632573533592002,0.47087184853352915,0.6086438387251716
8,8,0,1,0,0,1,90,0.2917568606854828,0.6737662109645023,0.4817082310005345,0.612104751839497
9,9,0,1,0,0,1,90,0.31031409673467597,0.6724821835026084,0.4835110099680168,0.628623063501066
10,10,0,1,0,0,0,91,0.3136496722165325,0.681141423971657,0.472127156470119,0.627426778007476
11,11,0,1,0,0,0,92,0.27886889072995824,0.6863547304372817,0.4793724064384911,0.631182782837956
12,12,0,2,0,0,0,92,0.251275616136928,0.702007194118427,0.49230022104901294,0.6385148273937924
13,13,0,3,0,0,0,92,0.30180459949323857,0.6936977375983818,0.4841242840358741,0.6422515227695634
14,14,0,2,0,0,0,93,0.3192077592192936,0.6966537567113871,0.4790484445893807,0.6448946678683498
15,15,0,2,0,0,0,93,0.3185329225879157,0.6869544499497843,0.4900268133313664,0.6337473865307981
16,16,0,1,0,0,0,94,0.304393745877792,0.6790651510791478,0.49989646755114664,0.6395246004759191
17,17,0,0,0,0,0,95,0.31562981990105976,0.6933150962422207,0.4968388835684075,0.6409524434113584
18,18,0,0,0,0,0,95,0.3353204784357291,0.6995326011422706,0.5009379610955015,0.6508754024517874
19,19,0,0,0,0,0,95,0.346275186223352,0.6944531093961928,0.4955247399668918,0.640150230187069
20,20,0,0,0,0,0,95,0.31731779563062756,0.7013968573603994,0.5064993478093184,0.6585864600684624
21,21,0,0,0,0,0,95,0.2949386120751414,0.6910137313747982,0.5090032836783815,0.667096425969134
22,22,0,0,0,0,0,95,0.2757150004239143,0.6905213483939444,0.5067114611696955,0.6926988724734483
23,23,0,0,0,0,0,95,0.28785273956190915,0.6808889148677605,0.4943960053919601,0.690012535283785
24,24,0,0,0,0,0,95,0.28078531563424275,0.6690198300036863,0.4918308447092342,0.7069891194271907
25,25,0,0,0,0,0,95,0.2603817336804384,0.662228567120895,0.49472978982471966,0.7035536449951204
26,26,0,0,0,0,0,95,0.2756522497983498,0.6563204274923168,0.49609145158309453,0.6869949410510877
27,27,0,0,0,0,0,95,0.24985904025570535,0.6527616922649989,0.4882937926005979,0.7017987736594152
28,28,0,0,0,0,0,95,0.26379270442191194,0.6593317562761442,0.49065059982772563,0.7004588706228604
29,29,0,0,0,0,0,95,0.2578681741057046,0.6656997034538394,0.4770246737198487,0.7011578176061644
30,30,0,0,0,0,0,95,0.25944748196960044,0.6859897730871442,0.4927047902899895,0.7122091177528135
31,31,0,0,0,0,0,95,0.2751293109818469,0.6931537299001236,0.4803609338108331,0.722743061549442
32,32,0,0,0,0,0,95,0.2747828855596277,0.7249461376551948,0.47648175273397386,0.7365395681513678
33,33,0,0,0,0,0,95,0.2731457795280183,0.7302648354036179,0.47165848130797344,0.7409783237650739
34,34,0,0,0,0,0,95,0.2937074256969153,0.727144936055803,0.470515930253243,0.7298630304017008
35,35,0,0,0,0,0,95,0.29280790616409536,0.7376642100405659,0.4781561270941359,0.7440569689306955
36,36,0,0,0,0,0,95,0.30633352102987116,0.7212767468819946,0.4830405546747747,0.7467581439958697
37,37,0,0,0,0,0,95,0.30917295754098206,0.7130605424034498,0.48857616162428236,0.7490222318625706
38,38,0,0,0,0,0,95,0.3045585034406896,0.7130513421890917,0.49699553340665176,0.722871988261665
39,39,0,0,0,0,0,95,0.269911423064673,0.7124889939936,0.4998739984108011,0.7370663919987744
40,40,0,0,0,0,0,95,0.28197961092580376,0.7132523919341143,0.5039819456610067,0.7301470208376625
41,41,0,1,0,0,0,95,0.2657187467756902,0.6898608474583422,0.4961382664632885,0.7453159024317022
42,42,0,1,0,0,0,96,0.2590088621840009,0.6901462575935855,0.502625688123789,0.7504730919624993
43,43,0,0,1,0,0,96,0.23313129722468443,0.6644483006500732,0.5120226040379445,0.7531598716461724
